Bacteria are typically amplified by how many times to be visible under a light microscope?,1000 times
What are the three basic shapes of bacteria visible under a light microscope?,"Coccus, bacillus, and spirilla"
Which specific bacterial structure is described as a measurement unit for bacteria?,Micrometer ($\mu m$)
What is the primary function of a bacterial capsule?,Anti-phagocytosis
Which bacterial structure is responsible for motility or movement?,Flagella
Bacteria pili are classified into two types: ordinary pili and _____ pili.,sex
What is the function of ordinary pili in bacteria?,Adhesion to host cells
The bacterial structure related to resistance against harsh environments is the _____.,spore
What biological characteristic defines L-form bacteria?,They are lack of a cell wall.
Which major chemical component is unique to the cell wall of Gram-positive ($G+$) bacteria?,Teichoic acid
Gram-negative ($G-$) bacterial cell walls consist of a small amount of peptidoglycan and an _____ membrane.,outer
What three components make up the Lipopolysaccharide (LPS) in $G-$ bacteria?,"O-polysaccharide, Polysaccharide core, and Lipid A"
Which part of the Lipopolysaccharide (LPS) represents the actual toxicity of the endotoxin?,Lipid A
What is the mechanism by which penicillin inhibits the growth of $G+$ bacteria?,It inhibits the synthesis of the cell wall peptidoglycan.
Concept: $Staphylococci$,Definition: Gram-positive spherical bacteria arranged in grape-like clusters.
What is the average diameter of a $Staphylococcus$ cell?,$1 \mu m$
Does $Staphylococcus$ typically possess flagella or spores?,"No, it has neither flagella nor spores."
Which $Staphylococcus$ species produces golden yellow pigment and has strong pathogenicity?,$Staphylococcus\ aureus$
What test is used to identify the pathogenicity of $Staphylococci$ by inducing plasma clotting?,Coagulase test
What is the function of Staphylococcal Protein A (SPA)?,It is an important surface antigen that binds to the IgG molecule.
Which $Staphylococcus$ species is coagulase-negative and produces a white pigment?,$Staphylococcus\ epidermidis$
"Among nonspore-forming bacteria, which group has the strongest resistance to heat and drying?",$Staphylococci$
What percentage of $NaCl$ can $Staphylococcus$ tolerate in a culture medium?,$10\%$ to $15\%$
Staphylolysin is a cytotoxin that primarily damages _____.,cell membranes
Which staphylococcal exotoxin destroys leukocytes and attacks neutrophils?,Leukocidin
Which toxin produced by $S.\ aureus$ is responsible for food poisoning?,Enterotoxin
What syndrome is caused by the staphylococcal toxin TSST-1?,Toxic shock syndrome (TSS)
Name one local pyogenic infection caused by $S.\ aureus$.,Furuncle (boil) or carbuncle
Staphylococcal scalded skin syndrome (SSSS) is mediated by which type of toxin?,Exfoliative toxin
Concept: $Streptococcus$,Definition: Gram-positive spherical bacteria typically arranged in chains.
What is the composition of the capsule found in some $Streptococci$?,Hyaluronic acid
How are $Streptococci$ classified based on their hemolysis phenomena on blood agar?,"$\alpha$-hemolytic (incomplete), $\beta$-hemolytic (complete), and $\gamma$-hemolytic (none)"
Which hemolytic group of $Streptococcus$ is considered most pathogenic to humans?,$\beta$-hemolytic streptococcus (Pyogenic streptococcus)
What is the primary protein antigen used to type Group A $Streptococci$?,M protein
Which substance produced by Group A $Streptococci$ dissolves fibrin clots?,Streptokinase (SK)
Which enzyme produced by $Streptococcus$ breaks down the 'ground substance' of connective tissue?,Hyaluronidase
What disease is associated with the production of Erythrogenic toxin by $Streptococcus$?,Scarlet fever
What are the two types of streptolysin (hemolysin)?,SLO (oxygen-labile) and SLS (oxygen-stable)
What does a positive ASOT (anti-SLO test) titer of $>1:400$ indicate?,A recent or current infection by $Streptococcus$ producing SLO.
Which antibiotic is the first choice for treating infections caused by $Streptococcus$?,Penicillin
Describe the morphology of $Streptococcus\ pneumoniae$.,"Gram-positive, encapsulated, lancet-shaped diplococcus."
What is the main invasive factor (pathogenicity) for $Streptococcus\ pneumoniae$?,The capsule
Which test is used to distinguish $\alpha$-hemolytic streptococcus from $Pneumococcus$?,Bile solubility test
Concept: $Neisseria\ meningitidis$,"Definition: Gram-negative, encapsulated kidney-shaped diplococcus causing epidemic meningitis."
Describe the morphology of $Neisseria\ gonorrhoeae$.,Gram-negative coffee bean-shaped diplococcus.
Which culture medium is required for the growth of $Neisseria$ species?,Chocolate agar with $5\%-10\%\ CO_2$
What is the primary pathogenic substance in $Neisseria$ species?,Lipopolysaccharide (LPS) / Endotoxin
Which organism causes gonococcal conjunctivitis?,$Neisseria\ gonorrhoeae$
"In the bacterial growth cycle, which phase should be selected to study biological characters?",Logarithmic (Log) phase
Define 'Sterilization'.,"The process of killing all microbial forms, including bacterial spores."
What is 'Disinfection'?,The process of killing only pathogenic microorganisms.
Which method is the most frequently used and effective for killing bacterial spores?,Autoclave sterilization
What is the standard concentration of alcohol used for disinfection?,$75\%$
The principle of ultraviolet (UV) sterilization is the destruction of _____.,DNA
Which sterilization method is appropriate for heat-sensitive liquids like serum or antitoxin?,Filtration sterilization
What is 'Pasteurization' primarily used for?,The sterilization/disinfection of milk and beer.
Adding $1\%-2\%\ NaHCO_3$ to boiling water increases the boiling point to _____.,$105^{\circ}C$
Term: Colony,Definition: A visible group of bacteria on a solid medium that proliferated from a single bacterium.
Which chemical agent is commonly used to disinfect drinking water and swimming pools?,Chlorine
The presence of bacteria in the blood without multiplication is known as _____.,bacteremia
What is 'Septicemia'?,A systemic infection where bacteria multiply in the blood and produce toxins.
The presence of bacterial toxins in the blood is called _____.,toxemia
Which type of bacteria (Gram-positive or Gram-negative) primarily produces endotoxins?,Gram-negative ($G-$) bacteria
Which type of toxin is highly immunogenic and can be converted into a toxoid?,Exotoxin
What is the chemical composition of most bacterial exotoxins?,Protein
Under what growth condition do bacteria appear as a pellicle or turbid in liquid medium?,Surface growth or uniform growth throughout the medium.
Which bacterial structure is specifically related to the sex pili's function?,Conjugation (transfer of genetic material)
Name the unique element of the bacterial cell wall found in both $G+$ and $G-$ bacteria.,Peptidoglycan
What is the primary indicator that medical materials have been successfully sterilized?,Bacterial spores have been completely killed.
A subclinical infection is also known as an _____ infection.,inapparent
What are 'opportunistic pathogens'?,Normal flora that cause disease only when the host's resistance is lowered.
Which structure helps a bacterium settle down or adhere to a host surface?,Pilus (ordinary)
How does moisture improve heat sterilization compared to dry heat?,Moist heat has better penetration and denatures proteins more effectively.
Bacteria that are part of the 'normal flora' can become pathogenic if they move to an _____ position.,abnormal (or ectopic)
The ability of a bacterium to cause disease is determined by its invasiveness and _____.,toxin production
Which staphylococcal toxin is associated with 'scalded skin syndrome' in infants?,Exfoliative toxin
M protein in $Streptococcus$ helps the bacteria resist _____.,phagocytosis
Name the diagnostic test used to differentiate $S.\ pneumoniae$ from other $\alpha$-hemolytic streptococci based on enzyme activation.,Bile solubility test
True or False: Endotoxins are easily degraded by heat.,False (they are heat-stable lipopolysaccharides).
Which $Staphylococcus$ species is a common cause of subacute endocarditis?,$Staphylococcus\ epidermidis$ (often weak pathogenicity but can infect heart valves).
What is the function of the enzyme Streptodornase (SD)?,It liquefies thick purulent exudates by degrading DNA.
