What is the typical morphology and Gram stain of Escherichia coli?,Gram-negative short rods with rounded ends.
Which locomotory structure do most strains of Escherichia coli possess?,Peritrichous flagella.
"In the context of Escherichia coli antigens, what does 'O' represent?",Somatic antigen (Lipopolysaccharide).
"In the context of Escherichia coli antigens, what does 'H' represent?",Flagellar antigen.
"In the context of Escherichia coli antigens, what does 'K' represent?",Capsular polysaccharide antigen.
How do Escherichia coli colonies appear on SS (Salmonella-Shigella) medium?,Pink and large.
"Escherichia coli is classified as lactose _____, which distinguishes it from many pathogenic enteric bacilli on SS medium.",Positive
What is the primary mechanism of action for the B subunit of E. coli heat-labile enterotoxin (LT)?,Binding to the GM1 ganglioside receptor on enterocytes.
Which host cell enzyme is activated by the A subunit of E. coli heat-labile enterotoxin (LT)?,Adenyl cyclase.
Escherichia coli heat-labile enterotoxin (LT) causes fluid secretion by increasing the intracellular concentration of _____.,cAMP
At what temperature can E. coli heat-stable toxin (ST) remain stable for 20 minutes?,$100^{\circ}C$.
The Escherichia coli heat-stable toxin (ST) mechanism involves the activation of _____.,Guanylyl cyclase (GC).
Escherichia coli heat-stable toxin (ST) causes diarrhea by increasing the intracellular concentration of _____.,cGMP
Which specific category of pathogenic E. coli produces both LT and ST enterotoxins?,Enterotoxigenic E. coli (ETEC).
Which E. coli category causes disease by adhering to and destroying the small intestinal mucosa using pili?,Enteropathogenic E. coli (EPEC).
Which toxin is primarily associated with Enterohemorrhagic E. coli (EHEC)?,Shiga toxin.
Which category of E. coli causes symptoms that resemble bacillary dysentery (Shigella)?,Enteroinvasive E. coli (EIEC).
Which E. coli clinical type forms a 'mucous bricked' like biofilm on the cell surface?,Enteroaggregative E. coli (EAggEC).
What is the most common extraintestinal infection caused by Escherichia coli?,Urinary tract infection (UTI).
Which structure helps Escherichia coli and other bacteria adhere to and settle down in a host?,Pilus (pili).
To what magnification must bacteria typically be amplified to be seen under a light microscope?,1000 times.
Name the three basic shapes of bacteria described in the light microscope sections.,"Coccus, bacillus, and spirilla."
Which bacterial structure is considered a 'resting structure' that is highly resistant to heat and chemicals?,Spore.
What specific temperature and conditions are required to kill bacterial spores during sterilization?,$121^{\circ}C$ under pressure.
How long must medical supplies be heated at $121^{\circ}C$ to ensure sterilization?,At least 20-30 minutes.
What is the standard index used to determine if a sterilization process is passable?,Whether bacterial spores have been killed.
"In Gram-negative bacteria, what are the three main components of the outer membrane?","Lipopolysaccharide (LPS), proteins, and phospholipids."
The phenomenon of _____ led Alexander Fleming to invent Penicillin.,Antibiosis (bacteriolysis by mold)
What characterizes 'L-form' bacteria?,Bacteria that are deficient in or lack a cell wall.
What is the major chemical component of the Gram-positive bacterial cell wall?,Peptidoglycan.
Which specific bacterial structure is responsible for movement?,Flagella.
What is the defining characteristic of Staphylococcus morphology?,Gram-positive spherical cells arranged in grape-like clusters.
What is the defining characteristic of Streptococcus arrangement?,Gram-positive spherical cells arranged in chains.
Which bacterial shape is characteristic of Vibrio cholerae?,"Short, curved (comma) shape."
"Vibrio cholerae requires an _____ environment for optimal growth, typically between pH 8.5 to 9.5.",Alkaline
Which culture medium is specifically used for the growth of Vibrio cholerae?,TCBS (Thiosulfate citrate bile salts sucrose agar).
What is the characteristic clinical finding of a severe cholera infection?,Rice water stools.
Identify the morphology and spore position of Clostridium tetani.,Gram-positive slender bacilli with terminal round spores ('drum-stick' form).
What is the characteristic appearance of Clostridium botulinum spores?,Subterminal oval spores ('tennis racket' form).
Define 'Virulence' in bacteriology.,The degree or measure of pathogenicity of a bacterium.
What are the two main groups of toxins produced by bacteria?,Exotoxins and endotoxins.
Which type of bacterial toxin is primarily composed of protein and is typically secreted by living organisms?,Exotoxin.
Which component of the Gram-negative cell wall is responsible for the toxicity of endotoxin?,Lipid A.
Define 'Bacteremia'.,The presence of bacteria in the blood without multiplication.
Define 'Septicemia'.,"Bacteria circulate and multiply in the blood, producing toxic products and serious symptoms."
Define 'Toxemia'.,"Bacteria multiply locally and do not enter the blood, but their exotoxins enter the blood and cause symptoms."
Which stage of Entamoeba histolytica is considered the 'infective stage' for humans?,The mature cyst.
What is the characteristic shape of intestinal ulcers caused by Entamoeba histolytica?,Flask-shaped ulcers.
What is the appearance of the pus found in an amoebic liver abscess?,Reddish-brown 'chocolate' pus.
Which clinical finding is used to distinguish alpha-hemolytic Streptococcus from Pneumococcus?,Bile solubility test.
What is the major pathogenic factor (invasive power) of Pneumococcus?,Capsule.
Which concentration of alcohol is typically used for disinfection?,$75\%$.
What is the primary mechanism of ultraviolet (UV) sterilization?,Interference with DNA synthesis (destroying DNA).
Which sterilization method is suitable for heat-sensitive liquids like blood serum or antitoxin?,Filtration sterilization.
What is the characteristic effect of Clostridium perfringens in a milk medium?,'Stormy fermentation'.
Which drug is the first choice for treating Streptococcus infections?,Penicillin.
The Widal test is a serological method used to diagnose which bacterial infection?,Enteric (Typhoid) fever caused by Salmonella.
How does Staphylococcus aureus typically appear on culture media?,"Smooth colonies with pigments like golden yellow, white, or lemon."
"In enteric bacilli classification, which sugar fermentation test is used to divide pathogenic and nonpathogenic species?",Lactose fermentation.
What is the action of Shiga toxin produced by Shigella?,Acts on intestinal mucosa to cause inflammation and ulcers.
Which phase of the bacterial growth cycle is best for studying biological characteristics?,Logarithmic phase.
Which pathogenic material of Beta-streptococcus is specifically related to allergic disorders (sequelae)?,M protein.
What is the incubation condition typically required for Pneumococcus culture?,Aerobic with $5\%-10\% \text{ CO}_2$.
Which disinfectant is commonly used for drinking water and swimming pools?,Chlorine.
Concept: Pyrogen,Definition: A synthetic product of bacteria that causes a rise in body temperature.
