What is the typical magnification required to see bacteria under a light microscope?,1000 times.
Bacteria that are spherical in shape are classified as _____.,coccus
Which bacterial shape is described as a curved rod or comma-shaped?,vibrio
What is the measurement unit commonly used for bacteria?,micrometer ($\mu m$)
Which bacterial structure is primarily responsible for resistance to harsh environmental conditions like boiling?,spore
At what temperature and for how long must medical supplies be heated under pressure to ensure sterilization of spores?,$121^{\circ}C$ for 20-30 minutes.
Which Gram-positive cocci typically arrange themselves in grape-like clusters?,Staphylococcus
Which surface protein on *Staphylococcus aureus* binds to the Fc portion of IgG?,Staphylococcal Protein A (SPA)
What percentage of *Staphylococcus* strains are currently resistant to penicillin G?,90%
What enzyme produced by pathogenic *Staphylococci* causes plasma to clot?,coagulase
Which bacterial genus is characterized by Gram-positive spherical cells arranged in chains?,Streptococcus
What is the first-choice antibiotic for treating *Streptococcus* infections?,penicillin
Which serologic test for *Streptococcus* is considered positive when the titer exceeds 1:400?,ASOT (anti-SLO test)
What is the characteristic shape of *Streptococcus pneumoniae*?,Gram-positive lancet-shaped diplococcus.
Which Gram-negative diplococcus is the primary pathogen of epidemic meningitis?,Neisseria meningitidis
What is the Gram stain and morphology of *Shigella*?,Gram-negative short rods.
How is *Shigella* differentiated from *E. coli* on SS (Salmonella-Shigella) agar?,*Shigella* forms colorless colonies because it does not ferment lactose.
Which locomotive structure is notably absent in *Shigella* species?,flagella
Which component of the *Shigella* cell wall is responsible for its strong endotoxin activity?,Lipopolysaccharide (LPS)
What is the specific name of the exotoxin produced by *Shigella* group A?,Shiga toxin (Stx)
What are the characteristic components of stool in acute bacillary dysentery?,"Blood, mucus, and pus."
"The clinical sensation of a constant urge to defecate, often associated with *Shigella*, is called _____.",tenesmus
What is the name of the vaccine used for the prevention of *Shigella*?,Streptomycin-dependent (SD) dysentery vaccine.
Which bacterial structure is primarily responsible for the adherence of *Shigella* to the intestinal mucosa?,pili
What is the Gram stain and morphology of *Vibrio cholerae*?,"Gram-negative, short, curved (comma-shaped) rod."
Which specific culture medium is used for the isolation of *Vibrio cholerae*?,TCBS (Thiosulfate citrate bile salts sucrose) agar.
What is the optimal pH range for the growth of *Vibrio cholerae*?,pH 8.5 to 9.5.
What is the characteristic appearance of stool in a patient with cholera?,Rice water stools.
