What is the typical magnification required to see bacteria under a light microscope?,1000 times.
Bacteria that lack a nuclear membrane and nucleolus are classified as _____ cells.,prokaryotic
Which bacterial structure is specifically responsible for motility?,Flagella.
What is the function of ordinary pili in bacteria?,Adhesion to host cells.
Bacterial L-forms are characterized by a deficiency in which structure?,The cell wall.
What is the primary chemical component of the Gram-positive bacterial cell wall?,Peptidoglycan.
"The highly resistant, dormant ""resting"" stage of some bacteria is called a _____.",spore
What is the standard temperature and time for sterilization in an autoclave to kill spores?,$121^\circ C$ for 15-20 minutes.
Which disinfectant concentration is considered optimal for alcohol-based antisepsis?,$75\%$.
What is the primary mechanism by which ultraviolet (UV) light kills bacteria?,Interfering with DNA synthesis.
"The ability of a pathogen to invade, colonize, and spread within a host is termed _____.",invasiveness
How do exotoxins differ from endotoxins regarding their origin?,"Exotoxins are mainly secreted by living Gram-positive bacteria, while endotoxins are part of the Gram-negative cell wall."
An exotoxin that has been treated to destroy its toxicity but retain its immunogenicity is called a _____.,toxoid
Which specific component of the Gram-negative bacterial lipopolysaccharide (LPS) is responsible for its toxicity?,Lipid A.
Which surface protein is an important diagnostic marker for $Staphylococcus$ $aureus$?,Staphylococcal Protein A (SPA).
Which enzyme produced by $Staphylococcus$ $aureus$ causes plasma to clot and is a key pathogenicity marker?,Coagulase.
What is the characteristic arrangement of $Streptococcus$ cells?,In chains.
"Which pathogen is associated with the clinical finding of ""rice water stools""?",$Vibrio$ $cholerae$.
What environment does $Vibrio$ $cholerae$ require for optimal growth in culture?,Alkaline conditions ($pH$ 8.5-9.5).
"The A subunit of the Cholera toxin increases the levels of _____ in intestinal cells, leading to diarrhea.",$cAMP$
Which bacterium is the primary cause of bacillary dysentery?,$Shigella$.
The Widal test is used to diagnose which infectious disease?,Typhoid fever (Enteric fever).
"In a Widal test, a diagnostic rise in antibody titer is generally considered to be at least _____ times.",4
"Which anaerobic bacterium is known for causing ""stormy fermentation"" in milk medium?",$Clostridium$ $perfringens$.
What is the characteristic shape of $Clostridium$ $tetani$ spores?,Drumstick-shaped (terminal round spore).
What is the mechanism of action for Tetanospasmin?,It blocks the release of inhibitory neurotransmitters (Glycine and $GABA$).
Morphology: $Clostridium$ $botulinum$,Gram-positive bacilli with subterminal oval spores resembling a tennis racket.
What are the oxygen requirements for the growth of $Clostridium$ $botulinum$?,Obligate anaerobic.
"Regarding resistance, how does the $Clostridium$ $botulinum$ toxin compare to its spores?","The spores are highly resistant to heat, while the toxin is heat-labile."
