What is the standard magnification required to see bacteria under a microscope?,$1000$ times.
"The highly resistant, dormant forms of bacteria like Bacillus and Clostridium are known as _____.",Resting structures (or spores).
What specific temperature and conditions are required to kill bacterial spores during sterilization?,$121^{\circ}C$ under pressure.
For how many minutes must medical supplies be heated at $121^{\circ}C$ to achieve sterilization?,At least $20$ to $30$ minutes.
What is the primary difference between disinfection and sterilization?,"Sterilization kills all microbial forms including spores, while disinfection only kills pathogenic microorganisms."
During which phase of the bacterial growth cycle are biological characteristics best studied?,Logarithmic (Log) phase.
The visible group of bacteria formed by the proliferation of a single bacterium on solid medium is called a _____.,Colony.
What is the optimal concentration of alcohol used for disinfection?,$75\%$.
How does ultraviolet light act as a disinfectant?,It interferes with $DNA$ synthesis.
What is the characteristic arrangement of Staphylococcus cells?,Grape-like clusters.
Which bacterium is known for its high salt tolerance and $90\%$ resistance to penicillin?,Staphylococcus aureus.
What is the first-choice antibiotic for treating Streptococcus infections?,Penicillin.
What is the main invasive factor (virulence factor) of Pneumococcus?,The capsule.
How do nonpathogenic enterobacteria typically appear on Salmonella-Shigella ($SS$) medium?,Pink and large colonies.
Which $E. coli$ toxin activates adenyl cyclase ($AC$) to increase intestinal secretion?,Heat-labile enterotoxin ($LT$).
The mechanism of $E. coli$ Heat-stable toxin ($ST$) involves the activation of which enzyme?,Guanylyl cyclase ($GC$).
Which diagnostic test is used to identify Salmonella infections such as Typhoid fever?,Widal test.
Where do Salmonella bacteria typically reside in chronic carriers?,The gallbladder.
Describe the morphology of Vibrio cholerae.,"Gram-negative, short, curved (comma-shaped) rods with a single polar flagellum."
What are the specific $pH$ requirements for the growth of Vibrio cholerae?,Alkaline conditions between $pH$ $8.5$ and $9.5$.
Which selective culture medium is used for the isolation of Vibrio cholerae?,Thiosulfate citrate bile salts sucrose ($TCBS$) agar.
How long does it take for Vibrio cholerae to die at a temperature of $100^{\circ}C$?,$2$ minutes.
Which virulence factor allows Vibrio cholerae to colonize the small intestine?,Pili.
What is the primary clinical finding associated with Cholera?,"Severe diarrhea with ""rice water"" stools."
What is the characteristic morphological appearance of Clostridium tetani cells containing spores?,Drum-stick appearance.
Which type of growth is observed for Clostridium tetani on blood agar?,Swarming growth with faint $\beta$ hemolysis.
What is the pathogenic mechanism of Tetanospasmin?,It blocks the release of inhibitory neurotransmitters glycine and $\gamma$-aminobutyric acid ($GABA$).
How is active immunity against tetanus achieved?,Vaccination with tetanus toxoid (often as part of the $DPT$ vaccine).
What is the immediate treatment for a wound contaminated with soil to prevent tetanus?,Injection of tetanus antitoxin ($TAT$).
Describe the morphology and Gram stain of Clostridium perfringens.,"Gram-positive, large, rectangular bacillus."
What is the position of the spore in Clostridium perfringens?,Subterminal.
How does Clostridium perfringens differ from most other Clostridia regarding motility and capsule?,It is non-motile and possesses a capsule.
Which biochemical phenomenon is characteristic of Clostridium perfringens in milk medium?,"""Stormy fermentation."""
What type of hemolysis is produced by Clostridium perfringens on blood agar?,Double zones of hemolysis.
Which exotoxin is the primary virulence factor in invasive Clostridium perfringens infections?,$\alpha$ toxin.
"What clinical condition, characterized by crepitus and muscle necrosis, is caused by Clostridium perfringens?",Gas gangrene.
