Which specific endocrine gland is responsible for secreting Corticotropin-Releasing Hormone (CRH)?,Hypothalamus
The _____ pituitary gland is the site of production for Growth Hormone (GH) and Prolactin.,Anterior
Which two hormones are stored and released by the posterior pituitary gland?,Vasopressin (ADH) and Oxytocin
The adrenal _____ is the specific site where aldosterone and cortisol are synthesized.,Cortex
"Which gland produces the hormones $T_3$, $T_4$, and Calcitonin?",Thyroid Gland
The adrenal medulla primarily secretes which two catecholamines?,Epinephrine and Norepinephrine
Which pancreatic islet cells are responsible for the secretion of glucagon?,Alpha cells
"In contrast to neural signaling, endocrine signaling acts as a 'broadcast' network that uses the _____ for hormone transport.",Circulatory system
How does the onset of action for the endocrine system compare to that of the nervous system?,It has a slower onset but a more sustained action.
"Neural signals are spatially delimited, whereas endocrine signals affect _____ tissues and organs simultaneously.",Multiple
Hormones classified as Group I (Lipophilic) are generally _____ in water.,Insoluble
Which group of hormones is hydrophilic and circulates freely in the plasma?,Group II
Concept: Group I Hormones,Definition: Lipophilic hormones like steroids and thyroid hormones that bind to intracellular receptors.
"Because they are lipophilic, Group I hormones require _____ for transport in the blood.",Carrier proteins
"Which group of hormones has a characteristically short plasma half-life, often measured in minutes?",Group II
Group I hormones generally produce a cellular response by regulating gene _____.,Transcription
Where are the receptors for Group II hormones (peptides and catecholamines) located?,The cell surface (plasma membrane)
What is the most common form of feedback control used by the endocrine system to maintain homeostasis?,Negative feedback
"_____ feedback is rare in endocrine systems and is typically used for processes that need to gather momentum, such as childbirth.",Positive
What functional term describes a pituitary hormone that stimulates another endocrine gland to secrete hormones?,Tropic hormone
The _____ is often referred to as the 'conductor' of the endocrine orchestra.,Hypothalamus
What is the primary mechanism of beta-cell death in the pathogenesis of Type 1 Diabetes Mellitus?,Apoptosis
Type 1 Diabetes Mellitus is characterized by an absolute deficiency of _____.,Insulin
Type 2 Diabetes Mellitus is characterized by a combination of tissue resistance and relative _____ deficiency.,Insulin
Which glucose transporter is primarily involved in the glucose-sensing mechanism of the pancreatic beta cell?,GLUT 1
Insulin is a peptide hormone consisting of _____ amino acids.,51
The parathyroid gland releases Parathyroid Hormone (PTH) in response to a state of _____.,Hypocalcemia
"Which hormone, produced by the thyroid gland, acts to lower blood calcium levels?",Calcitonin
The portal vessels specifically transport regulatory factors from the hypothalamus to the _____ pituitary.,Anterior
Hormones that are derivatives of the amino acid _____ include both catecholamines and thyroid hormones.,Tyrosine
"According to the Free Hormone Hypothesis, only the _____ form of a hormone is biologically active.",Unbound (free)
Where are the vast majority of steroid-binding proteins (SBPs) synthesized in the body?,The liver
Which specific plasma glycoprotein is responsible for transporting testosterone and $17\beta$-estradiol?,Sex Hormone-Binding Globulin (SHBG)
Transcortin is the primary carrier protein for which class of hormones?,Corticosteroids (such as Cortisol)
Binding to carrier proteins increases the circulating _____ of lipophilic hormones by protecting them from degradation.,Half-life
Group I hormones like thyroid hormones have a circulating half-life typically measured in _____.,Days
The $G_s$ protein subunit is responsible for the _____ of the enzyme adenylyl cyclase.,Stimulation
"Which G-protein subunit acts to inhibit adenylyl cyclase, thereby decreasing cAMP levels?",$G_i$
"The $G_q$ subunit activates the enzyme _____, leading to the generation of $IP_3$ and DAG.",Phospholipase C
"In second messenger cascades, cAMP is a nucleotide derived from _____.",ATP
A _____ endocrine disorder is defined by a defect specifically located within the target gland itself.,Primary
"If an endocrine deficiency is caused by a dysfunction in the anterior pituitary, it is classified as a _____ disorder.",Secondary
A tertiary endocrine disorder is one where the pathology originates in the _____.,Hypothalamus
Which peptide is co-secreted with insulin and serves as a useful clinical marker for endogenous insulin production?,C-peptide
The 'Incretin Effect' describes the observation that _____ glucose administration yields a higher insulin response than intravenous administration.,Oral
GLP-1 and GIP are examples of _____ hormones that enhance glucose-dependent insulin secretion.,Incretin
Which enzyme is responsible for the rapid inactivation of GLP-1 and GIP in the circulation?,DPP-4 (Dipeptidyl peptidase-4)
"In the pancreatic beta cell, the closing of _____ channels leads to membrane depolarization.",ATP-sensitive Potassium ($K^+$)
Which structural domain of the nuclear receptor superfamily is responsible for recognizing specific Hormone Response Elements (HREs)?,DNA-Binding Domain (DBD)
The DNA-binding domain of Group I hormone receptors typically contains _____ structural motifs.,Zinc finger
Which domain of a nuclear receptor is responsible for ligand binding and receptor dimerization?,Ligand-Binding Domain (LBD)
The _____ domain of nuclear receptors provides ligand-independent transcriptional activation.,AF-1
What is the function of the 'Hinge region' in the structure of a nuclear receptor?,It allows for receptor flexibility and contains nuclear localization signals.
CBP/p300 acts as a co-activator for nuclear receptors by exhibiting _____ activity to remodel chromatin.,Histone Acetyltransferase (HAT)
How does Histone Acetyltransferase (HAT) activity facilitate gene transcription?,"It acetylates histones, causing chromatin to relax and allowing transcription machinery access to DNA."
Insulin resistance is often associated with the inhibitory _____ phosphorylation of Insulin Receptor Substrate-1 (IRS-1).,Serine
"In a healthy state, insulin signaling requires the _____ phosphorylation of IRS-1 by the insulin receptor.",Tyrosine
Which specific second messenger is utilized by the Insulin receptor to exert its metabolic effects?,Phosphatidylinositides (and kinase cascades)
The dislodging of a transcriptional _____ from a nuclear receptor is a prerequisite for Group I hormone-induced gene activation.,Co-repressor
"In the beta cell, the influx of _____ through voltage-gated channels is the final trigger for insulin exocytosis.",Calcium ($Ca^{2+}$)
