What is the Gram stain result and morphology of $Salmonella$?,Gram-negative rods.
Which organelle provides motility to most $Salmonella$ species?,Peritrichous flagella.
"Besides flagella, what other surface structure do $Salmonella$ typically possess for attachment?",Pili.
"In terms of oxygen requirements, how are $Salmonella$ classified?",Facultative anaerobes.
What is the characteristic appearance of $Salmonella$ colonies on SS (Salmonella-Shigella) agar?,Colorless and small colonies.
Why do $Salmonella$ appear colorless on SS agar compared to the pink colonies of $E. coli$?,They do not ferment lactose.
"In biochemical testing, what is the result of $Salmonella$ for glucose fermentation?",Positive.
How does the motility of $Salmonella$ differ from $Shigella$?,"$Salmonella$ is motile, while $Shigella$ is non-motile."
What is the name of the somatic antigen found in the $Salmonella$ cell wall?,O antigen.
What is the name of the flagellar antigen in $Salmonella$?,H antigen.
Which specific capsular/virulence antigen is associated with $Salmonella\ typhi$?,Vi antigen.
How resistant are $Salmonella$ species to heat and chemical disinfectants?,They are easily killed by both.
What is the primary function of pili in $Salmonella$ pathogenesis?,Adhesion to host cells.
Which component of the $Salmonella$ cell wall acts as a powerful toxin when the bacteria lyse?,Endotoxin.
Some $Salmonella$ strains produce an exotoxin with a mechanism similar to which other enteric pathogen?,Enterotoxigenic $E. coli$ (ETEC).
"Inside the host, where do $Salmonella$ bacteria primarily multiply to evade the immune system?",Inside macrophages.
What are the three main clinical syndromes caused by $Salmonella$ infection?,"Gastroenteritis, Enteric (Typhoid) fever, and Septicemia."
Which $Salmonella$ syndrome is characterized by rose spots and a relatively slow pulse?,Enteric (Typhoid) fever.
What is the typical White Blood Cell (WBC) count finding in a patient with Typhoid fever?,Normal or low WBC count.
"During Enteric fever, which two organs are typically enlarged upon clinical examination?",Liver and spleen.
"What is the most common clinical manifestation of $Salmonella$ infection, accounting for approximately $70\%$ of cases?",Gastroenteritis.
"In a patient with $Salmonella$ gastroenteritis, what is the expected result of a blood culture?",Negative.
"In a patient with $Salmonella$ gastroenteritis, what is the expected result of a stool culture?",Positive.
"In a patient with $Salmonella$ septicemia, what is the expected result of a blood culture?",Positive.
"In a patient with $Salmonella$ septicemia, what is the expected result of a stool culture?",Negative.
Where does $Salmonella\ typhi$ typically persist in chronic carriers?,The gallbladder.
How long must a patient shed $Salmonella$ in their stool to be classified as a chronic carrier?,More than one year.
Which serological test is used to diagnose Enteric fever by detecting specific antibodies?,Widal test.
What is the laboratory method used in the Widal test?,Tube agglutination.
"In a Widal test, an O antigen titer of $\ge 1:80$ is considered _____.",clinically significant/suggestive of infection.
"In a Widal test, an H antigen titer of $\ge 1:160$ is considered _____.",clinically significant/suggestive of infection.
What change in Widal test titers between early and convalescent specimens confirms a diagnosis?,A four-fold or greater rise in antibody titer.
Which specimen is most likely to yield a positive culture during the first week of Enteric fever?,Blood.
"During the first to third week of Enteric fever, which specimen has the highest diagnostic yield?",Bone marrow.
In which weeks of Enteric fever infection are stool and urine cultures most likely to be positive?,Weeks 2 to 3.
What is the diagnostic specimen of choice for identifying a $Salmonella$ carrier?,Stool.
What type of immunity is primarily responsible for persistent protection after recovery from Enteric fever?,Specific cellular immunity.
What is the standard treatment for a symptomatic $Salmonella$ infection?,Antibiotic therapy.
How does $Salmonella\ typhi$ travel from the liver back to the small intestine to be shed in feces?,Via the bile.
What is the transmission route for $Salmonella$ causing Enteric fever?,The oral route (ingestion of contaminated food or water).
"In biochemical testing, which sugar do both $E. coli$ and $Salmonella$ ferment?",Glucose.
"In the context of the Widal test, what does the 'PH' titer refer to?",Paratyphoid H antigen titer.
What is the biochemical motility result for $Salmonella$ on semisolid medium?,Positive (motile).
Which clinical syndrome is characterized by transient primary bacteremia followed by multiplication in the bone marrow and spleen?,Enteric (Typhoid) fever.
"Besides stool, what other specimen can be cultured in cases of $Salmonella$ food poisoning (gastroenteritis)?",Vomitus.
What is the first generic name in the Latin binomial for the causative agent of Typhoid fever?,$Salmonella$.
Which $Salmonella$ antigen is used to determine the specific serotype during identification?,O (somatic) antigen.
True or False: $Salmonella$ are normally part of the human intestinal flora.,False (they are considered pathogenic intestinal bacteria).
What is the effect of $Salmonella$ enterotoxin on the small intestine?,It stimulates fluid secretion leading to diarrhea.
Why is bone marrow culture used if blood cultures are negative in suspected Typhoid fever?,It remains positive longer and is more sensitive than blood culture.
"In the laboratory diagnosis of $Salmonella$, what follows the isolation on SS agar in the identification process?",Biochemical testing and serum identification.
What is the significance of a relatively slow pulse (bradycardia) in the presence of high fever in Typhoid patients?,It is a classic diagnostic sign of Enteric fever.
What is the primary infection source for $Salmonella$?,Patients' stool and chronic carriers.
Does recovery from $Salmonella$ gastroenteritis typically result in long-term immunity?,No (persistent immunity is associated with Enteric fever).
Which $Salmonella$ antigen is most heat-stable?,O antigen.
Which $Salmonella$ antigen is heat-labile and destroyed by boiling?,H antigen.
The rose spots seen in Typhoid fever are typically found on which part of the body?,The abdomen/trunk.
What is the typical morphology of $Salmonella$ in a stained smear?,"Gram-negative, medium-sized rods with rounded ends."
"If the O titer is high but the H titer is low in a Widal test, what does it usually indicate?",Early stage of infection.
What is the normal value for the O titer in a healthy individual (Widal test)?,$< 1:80$.
