What is the characteristic morphology of $Vibrio$ $cholerae$?,"Short, curved, $G^-$ bacilli shaped like a comma."
"How many flagella does $Vibrio$ $cholerae$ possess, and where are they located?",A single polar flagellum.
Describe the characteristic movement of $Vibrio$ $cholerae$ under a microscope.,"Highly motile, moving shuttle-like back and forth."
True or False: $Vibrio$ $cholerae$ is a spore-forming bacterium.,False.
Which specific alkaline $pH$ range is tolerated by $Vibrio$ $cholerae$?,$pH$ $8.5$ to $9.5$.
What is the name of the selective culture medium used for the isolation of $Vibrio$ $cholerae$?,TCBS (Thiosulfate citrate bile salts sucrose agar).
How long does it take for $Vibrio$ $cholerae$ to die at a temperature of $100^\circ C$?,$2$ minutes.
$Vibrio$ $cholerae$ is highly sensitive to which two environmental conditions?,Drying and acidic environments.
"In the pathogenesis of cholera, what is the primary function of the bacterial flagella?",To penetrate the mucous surface layer of the small intestine.
What is the primary role of pili in $Vibrio$ $cholerae$ infection?,To allow the bacteria to colonize the small intestine through adhesion.
Which subunit of the cholera toxin (ctx) binds to the $GM1$ ganglioside receptor on enterocytes?,The B subunit.
What is the enzymatic function of the A subunit of the cholera toxin (ctx)?,"It activates adenyl cyclase, leading to increased levels of $cAMP$."
What is the physiological result of increased $cAMP$ levels in enterocytes during a cholera infection?,Severe diarrhea and loss of water and electrolytes.
Describe the characteristic appearance of stools in a patient with severe cholera.,"""Rice water"" stools."
What are the three major clinical complications resulting from the massive fluid loss in cholera?,"Electrolyte disturbances, kidney failure, and circulatory failure (shock)."
Which antibiotics are typically applied for the symptomatic treatment of $Vibrio$ $cholerae$?,Tetracycline and chloromycetin.
Term: Ordinary pilus (fimbriae),"Definition: Short, rigid, hair-like structures used for bacterial adhesion."
What is the typical arrangement of $Staphylococcus$ cells?,$G^+$ spherical cells arranged in grape-like clusters.
Which pigment colors are typically produced by $Staphylococcus$ colonies?,"Golden yellow, white, and lemon."
What distinguishes $Staphylococcus$ resistance compared to other non-spore-forming bacteria?,"It is the strongest among non-spores, showing high salt tolerance."
Which bacterium is the primary cause of scarlet fever and rheumatic fever?,$Streptococcus$.
"How is $Streptococcus$ typically arranged, and what is its Gram stain reaction?",$G^+$ spherical cells arranged in chains.
What is the antibiotic of first choice for treating $Streptococcus$ infections?,Penicillin.
Which capsule component is found in $Streptococcus$?,Hyaluronic acid.
"On SS medium, why do $E.$ $coli$ colonies appear pink and large?",Because they are lactose fermenters (nonpathogenic enterobacteria in this context).
Which two enterotoxins are associated with Enterotoxigenic $E.$ $coli$ (ETEC)?,LT (heat-labile) and ST (heat-stable).
What are the common extraintestinal infections caused by $E.$ $coli$?,Urinary tract infections (UTI) and septicemia.
Describe the motility and flagella status of $Shigella$.,Non-motile; it lacks flagella but possesses pili.
What is the appearance of $Shigella$ colonies on SS agar?,Colorless and small colonies (lactose negative).
How does $Salmonella$ typically travel through the body's immune defenses?,It multiplies inside macrophages.
Which serologic method is used to diagnose enteric (typhoid) fever by detecting $O$ and $H$ antibodies?,The Widal test.
Where does $Salmonella$ typically persist in chronic carriers?,The gallbladder.
What is the characteristic spore shape and location in $Clostridium$ $tetani$?,"Terminal round spore, creating a ""drum-stick"" appearance."
By what mechanism does Tetanospasmin cause spastic paralysis?,It blocks the release of inhibitory neurotransmitters.
What is the essential treatment for preventing tetanus in a patient with a deep wound?,Debridement and injection of TAT (Tetanus Antitoxin).
Describe the morphology and unique culture phenomenon of $Clostridium$ $perfringens$.,"Large $G^+$ rectangular bacilli causing ""stormy fermentation"" in milk medium."
What is the primary toxin produced by $Clostridium$ $perfringens$ responsible for gas gangrene?,$\alpha$ toxin (a lecithinase).
Which bacterium produces a neurotoxin that leads to flaccid paralysis by blocking acetylcholine release?,$Clostridium$ $botulinum$.
What is the typical spore appearance of $Clostridium$ $botulinum$?,"Subterminal oval spore resembling a ""tennis racket."""
What is the infective stage of $Entamoeba$ $histolytica$?,The mature cyst containing 1 to 4 nuclei.
What is the pathogenic stage of $Entamoeba$ $histolytica$ that causes tissue damage?,The trophozoite stage.
Describe the classic intestinal pathology caused by $Entamoeba$ $histolytica$.,Characteristic flask-shaped ulcers in the large intestine.
Which drug is used to treat symptomatic amoebic dysentery and liver abscesses?,Metronidazole.
What is the diagnostic appearance of pus from an amoebic liver abscess?,"""Chocolate"" pus."
What is the difference between disinfection and sterilization?,"Disinfection kills pathogens, while sterilization kills all microbes including spores."
Which bacterial synthetic product is responsible for causing a fever reaction in humans?,Pyrogen.
Term: Septicemia,"Definition: Bacteria multiply in the blood and produce toxins, causing systemic symptoms."
What bacterial structure is primarily responsible for adhesion to host cells?,The ordinary pilus (fimbriae).
Contrast the chemical composition of bacterial endotoxin versus exotoxin.,"Endotoxins are lipopolysaccharides ($LPS$), while exotoxins are proteins."
Which part of the Lipopolysaccharide ($LPS$) molecule is responsible for its toxic effects?,Lipid A.
Can endotoxins be prepared into toxoids for vaccines?,No; only exotoxins can be converted into toxoids.
What is the main function of cell-mediated immunity in bacterial infections?,It is the primary defense against intracellular bacteria.
"According to the SS agar results, which enterobacteria produce colorless colonies?",Pathogenic enterobacteria like $Shigella$ and $Salmonella$.
What is the diagnostic stage for $Entamoeba$ $histolytica$ found in stool samples?,Cysts and trophozoites.
Under what oxygen condition does $Clostridium$ $tetani$ grow?,Obligate anaerobic conditions.
Which structural component of $Gram$-negative bacteria contains the periplasmic space?,The region between the cytoplasmic membrane and the outer membrane.
What is the sedimentation pattern of bacteria growing in a liquid medium?,They typically grow as a sediment at the bottom or as a pellicle on top.
How does the resistance of bacterial spores compare to vegetative cells?,"Spores are significantly more resistant to heat, chemicals, and radiation."
"In the Gram stain, what color do $G^-$ bacteria appear?",Red or pink.
"In the Gram stain, what color do $G^+$ bacteria appear?",Purple or blue.
Which subunit of the $70S$ prokaryotic ribosome is responsible for peptide bond formation?,The $50S$ large subunit.
What is the target of penicillin in the bacterial cell wall?,The cross-linking of peptidoglycan chains.
