"Entity / Component","Category","Sub-Category","Key Characteristics & Origin","Primary Function & Mechanism","Clinical & Disease Associations","Diagnostic Markers / Lab Tests"
"IgA Antibody","Immunology","Immunoglobulins","Secretory type (sIgA) is a dimer/trimer with a J-chain and a secretory piece; monomer in serum. Produced by mucosal plasma cells.","Provides mucosal immunity; dimer secretory piece resists digestive enzymes and coats/neutralizes pathogens on mucosal surfaces, preventing epithelial attachment.","Selective IgA Deficiency (causes recurrent sinopulmonary and GI infections); IgA Nephropathy (Berger's disease); Henoch-Schönlein purpura.","Serum IgA levels (<7 mg/dL defines selective deficiency); immunofluorescence showing IgA mesangial deposits in kidney biopsy."
"IgG Antibody","Immunology","Immunoglobulins","Most abundant class in serum (~75%); monomeric structure. Secreted in high amounts by plasma cells during the secondary adaptive immune response.","Functions as a primary defender against bacteria, viruses, and toxins via neutralization, opsonization (promoting macrophage phagocytosis via Fc receptor binding), complement activation, and ADCC via NK cells; uniquely crosses the placenta.","Autoimmune hemolytic anemia and Erythroblastosis Fetalis (Type II hypersensitivity); IgG autoantibody deficiencies cause recurrent pyogenic infections.","Quantitative serum IgG levels; immunofluorescence showing IgG deposition; positive Coombs test (for autoimmune hemolytic anemia)."
"IgM Antibody","Immunology","Immunoglobulins","Pentameric structure linked by disulfide bonds and a J-chain in secretions; monomeric on mature B cell surfaces as a B cell receptor (BCR). Earliest antibody produced in a primary immune response.","Exhibits high avidity with 10 antigen-binding sites; exceptionally potent at complement activation (complement fixing) and causing agglutination (clumping) of pathogens.","Mismatched ABO blood transfusion reactions (Type II hypersensitivity); participates in Type III immune complex-mediated hypersensitivities; cold agglutinin disease.","Quantitative serum IgM levels; isohemagglutinin titer; direct/indirect agglutination assays."
"IgD Antibody","Immunology","Immunoglobulins","Monomeric structure; co-expressed with IgM on the surface of mature, naive B lymphocytes. Very low concentration in normal serum (~0.2%).","Functions primarily as a membrane-bound antigen receptor (BCR partner) to assist in B cell activation, maturation, and survival signaling.","Hyper-IgD syndrome (a periodic fever syndrome marked by high IgD levels and recurrent inflammatory episodes); levels vary in chronic inflammatory diseases.","Flow cytometry showing surface IgD+ on mature naive B cells (CD19+ / CD20+ / IgM+ / IgD+); serum IgD levels measured by ELISA or nephelometry."
"IgE Antibody","Immunology","Immunoglobulins","Lowest concentration in normal serum; monomeric structure with an extra constant domain (CH4). Produced by plasma cells following isotype switching induced by IL-4.","Binds with extremely high affinity to FcεRI receptors on mast cells and basophils. Cross-linking by allergens triggers immediate cell degranulation, releasing preformed inflammatory mediators.","Mediates Type I hypersensitivity (allergic rhinitis, asthma, hives, systemic anaphylaxis); plays an essential defensive role against helminthic parasite infections.","Elevated total serum IgE levels; allergen-specific IgE testing (RAST/ImmunoCAP); skin prick wheel-and-flare testing."
"Monoclonal Antibody (mAb)","Immunology","Immunoglobulins","Highly pure, monospecific antibodies manufactured in vitro. Produced by fusing a specific plasma B cell with an immortal myeloma cell to create a hybridoma.","Binds with absolute specificity to a single epitope on a target antigen, enabling targeted neutralisation, cell labeling, or receptor blocking.","Used as therapeutics: Rituximab (anti-CD20 for B cell lymphoma and RA), Infliximab (anti-TNF-α for Crohn's and RA), Trastuzumab (anti-HER2 for breast cancer).","Purity checked via capillary electrophoresis; binding specificity validated via ELISA and Western blot."
"Type I Hypersensitivity (Anaphylaxis)","Immunology","Hypersensitivity Reactions","Rapid, IgE-mediated systemic or local allergic reaction occurring within minutes of re-exposure to an allergen in a sensitized individual.","Allergen cross-links IgE antibodies pre-bound to high-affinity FcεRI receptors on mast cells/basophils. Degranulation releases histamine (early phase) and stimulates leukotriene synthesis (late phase).","Anaphylactic shock (marked by massive systemic vasodilation, bronchial smooth muscle contraction, and laryngeal edema); allergic asthma; food allergies.","Clinical diagnosis; elevated serum tryptase (marker of mast cell degranulation) measured shortly after the episode; skin prick testing."
"Type II Hypersensitivity (Cytotoxic)","Immunology","Hypersensitivity Reactions","Antibody-mediated cytotoxic reaction targeting antigens present on specific cell surfaces or within extracellular matrix tissues.","IgG or IgM antibodies bind directly to target cells, triggering classical complement activation (MAC lysis), opsonization for phagocytosis, or NK cell-mediated ADCC.","Mismatched ABO blood transfusion reactions, Erythroblastosis Fetalis (hemolytic disease of the newborn), Myasthenia Gravis, Autoimmune Hemolytic Anemia, Goodpasture's syndrome.","Direct and Indirect Coombs tests; detection of tissue-specific autoantibodies (e.g., anti-AChR); immunofluorescence biopsy showing linear deposition."
"Type III Hypersensitivity (Immune Complex)","Immunology","Hypersensitivity Reactions","Immune complex-mediated inflammatory reaction caused by the deposition of circulating, medium-sized antigen-antibody complexes in filters and tissues.","Circulating complexes deposit in blood vessels, joint synovium, or glomeruli, where they activate complement and recruit neutrophils that release destructive lysosomal enzymes.","Systemic Lupus Erythematosus (SLE), Rheumatoid Arthritis (RA), Serum Sickness, Arthus reaction, Post-streptococcal glomerulonephritis.","Decreased serum C3 and C4 complement levels; presence of circulating immune complexes; tissue biopsies showing granular (lumpy) immune deposits under immunofluorescence."
"Type IV Hypersensitivity (Contact Dermatitis)","Immunology","Hypersensitivity Reactions","Delayed-type, cell-mediated (antibody-independent) inflammatory reaction; peaks 48-72 hours after physical skin contact with an active hapten.","Haptens (e.g., poison ivy pentadecacatechol, nickel, leather chemicals) bind self-proteins, becoming immunogenic. Dendritic cells present them to Th1 cells, which secrete IFN-γ to recruit and activate highly destructive macrophages.","Pruritic, vesicular, erythematous skin lesions localized to the area of contact; localized tissue injury and swelling; Tuberculin skin test; graft rejection.","Patch testing (application of suspected allergens to the skin for 48 hours to observe for a localized cell-mediated reaction); Tuberculin skin test (PPD measurement)."
"Systemic Lupus Erythematosus (SLE)","Immunology","Autoimmune Diseases","Systemic autoimmune disease showing a strong female predominance (9:1); strongly associated with HLA-DR2 and HLA-DR3 alleles.","Mediates a Type III hypersensitivity reaction; autoantibodies bind to self-antigens (DNA/histones), forming immune complexes that deposit in small vessels and filters, activating complement and recruiting destructive neutrophils.","Malar 'butterfly' rash, discoid lupus, lupus nephritis (glomerulonephritis), arthritis, hematologic cytopenias, and neurological symptoms.","Positive ANA (sensitive screening); Anti-dsDNA and Anti-Smith autoantibodies (highly specific); decreased serum C3 and C4 complement levels."
"Rheumatoid Arthritis (RA)","Immunology","Autoimmune Diseases","Systemic inflammatory disease affecting joints; strong association with HLA-DR4. Characterized by the presence of Rheumatoid Factor (RF).","Mediates a mixed Type III/IV hypersensitivity. Autoreactive Th1 cells recruit macrophages that release destructive TNF-α in joint synovium. RF (IgM binding to IgG Fc tails) forms immune complexes that amplify inflammation.","Symmetrical polyarthritis (morning stiffness, joint erosions, pannus formation), subcutaneous nodules, systemic vasculitis, and pulmonary fibrosis.","Positive Rheumatoid Factor (RF); highly specific Anti-Cyclic Citrullinated Peptide (anti-CCP) antibodies; elevated ESR and CRP."
"Myasthenia Gravis","Immunology","Autoimmune Diseases","Type II (antibody-mediated) hypersensitivity; highly associated with HLA-DR3; often associated with thymic hyperplasia or thymoma.","Autoantibodies (IgG) bind to and block nicotinic acetylcholine receptors (AChR) at the neuromuscular junction, triggering receptor internalization, complement-mediated destruction, and impaired synaptic transmission.","Progressive muscle weakness and fatiguability (worse with exercise, improves with rest), ptosis, diplopia, dysphagia, and potentially fatal respiratory failure (myasthenic crisis).","Anti-AChR antibodies (highly specific); Anti-Muscle-Specific Tyrosine Kinase (MuSK) antibodies; electromyography (EMG) decremental response."
"Severe Combined Immunodeficiency (SCID)","Immunology","Primary Immunodeficiencies","Group of genetic disorders; most common is X-linked (IL2RG mutation). Autosomal recessive forms include adenosine deaminase (ADA) deficiency and RAG1/RAG2 mutations.","Severe defect in both cellular and humoral immunity. RAG1/RAG2 mutations block the V(D)J recombination needed to build functional B and T cell receptors, leaving lymphocytes totally non-functional.","Infants present with severe, recurrent infections (bacterial, viral, fungal, protozoal), chronic diarrhea, failure to thrive, and absence of thymic shadow. Fatal in infancy without bone marrow transplant.","Absent or extremely low T and B cell counts on flow cytometry; absence of T-cell receptor excision circles (TRECs) on newborn screening."
"Bruton's X-Linked Agammaglobulinemia (XLA)","Immunology","Primary Immunodeficiencies","X-linked recessive immunodeficiency caused by a loss-of-function mutation in the Bruton's Tyrosine Kinase (BTK) gene on chromosome Xq22.","BTK is required for pre-B cell receptor signaling; its defect blocks pre-B cells from maturing into mature B cells in the bone marrow, causing a near-total absence of B cells and all immunoglobulin classes.","Male infants present after age 3-6 months (as maternal IgG wanes) with recurrent, severe pyogenic bacterial infections (e.g., S. pneumoniae, H. influenzae) of the respiratory tract.","Profound B-cell lymphopenia (<1% CD19+ B cells in peripheral blood) on flow cytometry; extremely low or undetectable levels of serum IgG, IgA, and IgM."
"DiGeorge Syndrome","Immunology","Primary Immunodeficiencies","Congenital immunodeficiency caused by a microdeletion on chromosome 22q11.2, resulting in defective development of the 3rd and 4th pharyngeal pouches.","Causes thymic hypoplasia or aplasia, resulting in deficient T cell maturation and impaired cell-mediated immunity. Also causes parathyroid hypoplasia, leading to low calcium.","Recurrent viral, fungal, and opportunistic infections; cleft palate; congenital heart defects (conotruncal anomalies); tetany due to severe hypocalcemia.","Absent or profoundly low CD3+ T cell counts with normal B cell counts; absence of thymic shadow on chest X-ray; FISH/microarray showing 22q11.2 microdeletion."
