What is the standard measurement unit used for bacteria?,Micrometer ($\mu m$)
How many times must a bacterium be amplified to be visible under a light microscope?,1000 times
Identify the three primary shapes of bacteria seen under a light microscope.,"Coccus, bacillus, and spirilla"
What are the four essential basic structures of all bacteria?,"Cell wall, cell membrane, cytoplasm, and nucleoid"
Which bacterial structure is specifically responsible for anti-phagocytic function?,Capsule
The bacterial structure primarily used for locomotion is the _____.,Flagella
What is the primary function of ordinary pili in bacterial pathogenesis?,Adhesion to host cells
"Which bacterial structure is the most resistant form, capable of surviving harsh environments?",Spore
Bacteria that have lost their cell wall but are still capable of growth are called _____.,L-form bacteria
Which unique chemical component is found in the cell walls of Gram-positive bacteria but not Gram-negative bacteria?,Teichoic acid
The toxic component of the Gram-negative bacterial cell wall is _____.,Lipid A (of the Lipopolysaccharide)
How does the peptidoglycan layer of Gram-positive bacteria differ from Gram-negative bacteria in terms of thickness?,It is much thicker in Gram-positive bacteria.
"Which enzyme's synthesis is inhibited by Penicillin, thereby preventing bacterial cell wall formation?",Peptidoglycan synthase (transpeptidase)
What is the name for extrachromosomal DNA fragments found in the bacterial cytoplasm?,Plasmids
Define 'sterilization' in a clinical context.,"The process of killing all microbial forms, including bacterial spores."
Which moist heat sterilization method is most frequently used to ensure the destruction of spores?,Autoclave sterilization
What is the standard concentration of alcohol used for skin disinfection?,$75\%$
The primary mechanism by which Ultraviolet (UV) light kills bacteria is the destruction of _____.,DNA
Which growth phase should be selected to study the biological characteristics and morphology of a bacterial culture?,Logarithmic (log) phase
Define 'Normal Flora'.,Microorganisms that normally reside in or on the human body without causing disease.
Under what general conditions does a normal flora microorganism become an opportunistic pathogen?,"Alteration of colonization site, declining host immunity, or dysbacteria."
Differentiate 'Bacteremia' from 'Septicemia'.,Bacteremia is the presence of bacteria in the blood without multiplication; septicemia involves bacteria multiplying in the blood and producing toxins.
"What term describes the condition where bacterial exotoxins enter the bloodstream and cause toxic symptoms, but the bacteria remain at the site of infection?",Toxemia
Which bacterial toxin is composed of protein and is typically secreted by living Gram-positive bacteria?,Exotoxin
How does the heat stability of endotoxins compare to that of exotoxins?,"Endotoxins are heat-stable, while most exotoxins are heat-labile (destroyed by heat)."
What are the three main types of antigens used to classify Enterobacteriaceae?,"O (somatic), H (flagellar), and K or Vi (capsular) antigens."
Which genus of enteric bacilli is the primary indicator of fecal contamination in water and food?,Escherichia ($E. coli$)
What is the appearance of pathogenic enteric bacteria (like Shigella or Salmonella) on Salmonella-Shigella (SS) agar?,Colorless and small colonies.
"On SS agar, non-pathogenic enteric bacteria (like $E. coli$) appear pink because they can ferment _____.",Lactose
Which pathotype of $E. coli$ is the major cause of traveler's diarrhea?,Enterotoxigenic $E. coli$ (ETEC)
The $B$ subunit of $E. coli$ heat-labile enterotoxin (LT) binds specifically to which host cell receptor?,$GM_{1}$ ganglioside
What is the intracellular mechanism of action for $E. coli$ Heat-Labile Enterotoxin (LT)?,"Activation of Adenylate Cyclase (AC), leading to increased $cAMP$."
The Heat-Stable Toxin ($ST$) produced by ETEC causes diarrhea by activating _____.,"Guanylate Cyclase (GC), leading to increased $cGMP$."
Which pathotype of $E. coli$ produces Shiga toxin and causes hemorrhagic colitis?,Enterohemorrhagic $E. coli$ (EHEC)
What is the characteristic clinical presentation of infection with Enteroinvasive $E. coli$ (EIEC)?,Symptoms resembling bacillary dysentery (Shigella).
Which $E. coli$ pathotype is associated with the formation of a 'mucous brick-like biofilm' on the intestinal surface?,Enteroaggregative $E. coli$ (EAggEC)
Describe the motility and Gram-stain characteristics of Shigella.,Non-motile (no flagella) and Gram-negative rods.
What is the primary transmission route for Shigella infections?,Gastrointestinal tract (fecal-oral route).
What are the typical components of stools in a patient with acute bacillary dysentery?,"Blood, mucus, and pus."
Which Shigella subgroup is known for producing the potent Shiga toxin (Stx)?,Group A (Shigella dysenteriae)
"In Shigella pathogenesis, what causes the clinical symptom of tenesmus?",The action of exotoxin on the autonomic nervous system.
Compare the motility of Salmonella to Shigella.,"Salmonella is motile (peritrichous flagella), whereas Shigella is non-motile."
What is the clinical name for the systemic infection caused by Salmonella typhi?,Enteric fever (Typhoid fever)
"During the first week of Enteric Fever, which specimen is most likely to yield a positive culture?",Blood
What is the diagnostic 'rose spot' seen in typhoid fever?,Small red spots appearing on the skin during the infection.
The serologic test used to detect antibodies against the $O$ and $H$ antigens of Salmonella typhi is the _____ test.,Widal
What is considered a clinically significant $O$ antibody titer in a single Widal test result?,$\ge 1:80$
"In the Widal test, what is the significant titer level for $H$ antibodies?",$\ge 1:160$
Where do Salmonella bacteria typically persist in chronic carriers?,The gallbladder
Which Salmonella syndrome typically presents with positive stool cultures but negative blood cultures?,Gastroenteritis
The capsular antigen of Salmonella typhi that is related to virulence is known as the _____ antigen.,$Vi$ antigen
Which staphylococcal species is coagulase-positive and highly pathogenic?,Staphylococcus aureus
What is the function of Staphylococcal Protein A (SPA)?,It is a surface protein that identifies pathogenicity and helps resist phagocytosis.
Which toxin produced by S. aureus is responsible for Staphylococcal Scalded Skin Syndrome (SSSS)?,Exfoliative toxin
The S. aureus enterotoxin causes food poisoning by stimulating the _____.,Vomiting center of the Central Nervous System (CNS)
"Which type of hemolysis is characterized by transparent, clear zones around colonies on blood agar?",$\beta$-hemolysis
Group A Streptococcus is primarily associated with which type of infection?,Pyogenic (pus-forming) infections
Which streptococcal enzyme is used clinically to dissolve blood clots?,Streptokinase (SK)
Scarlet fever is caused by the _____ produced by Group A streptococci.,Pyrogenic exotoxin (Erythrogenic toxin)
Which specific test distinguishes $\alpha$-hemolytic streptococcus from Pneumococcus?,Bile solubility test
What is the primary pathogen responsible for epidemic meningitis?,Neisseria meningitidis (Meningococcus)
Describe the typical morphology of Neisseria gonorrhoeae.,"Gram-negative, kidney-shaped or coffee bean-shaped diplococci."
Which structure provides the main invasive power for Pneumococcus?,Capsule
Define 'transduction' in bacterial genetics.,The transfer of bacterial DNA from a donor to a recipient mediated by a bacteriophage.
What is a 'temperate phage'?,A phage whose DNA integrates into the bacterial chromosome as a prophage without immediately lysing the cell.
Lysogenic conversion is defined as _____.,The acquisition of new biological traits by a bacterium after a temperate phage integrates into its chromosome.
Which plasmid is specifically related to bacterial conjugation and the transfer of genetic material?,$F$ plasmid (Fertility factor)
The process where a bacterium directly takes up free DNA from the environment is called _____.,Transformation
"Which parasite stage is the dormant, resistant, and infective form of protozoa like Entamoeba histolytica?",Cyst
"The active, pathogenic, and reproductive stage of protozoa is the _____.",Trophozoite
What is the characteristic intestinal lesion caused by Entamoeba histolytica?,Flask-shaped ulcer
Amoebic liver abscesses are clinically recognized by the presence of _____.,Reddish-brown 'chocolate' pus
Differentiate 'Definitive Host' from 'Intermediate Host'.,A definitive host harbors the adult or sexual stage; an intermediate host harbors the larval or asexual stage.
Which medical flagellate is the cause of Kala-azar (Visceral Leishmaniasis)?,Leishmania donovani
What is the insect vector for the transmission of Leishmania donovani?,Sand flies
