"Entity / Component","Category","Sub-Category","Key Characteristics & Origin","Primary Function & Mechanism","Clinical & Disease Associations","Diagnostic Markers / Lab Tests"
"IgA Antibody","Immunology","Immunoglobulins","Secretory type (sIgA) is a dimer/trimer with a J-chain and a secretory piece; monomer in serum. Produced by mucosal plasma cells.","Provides mucosal immunity; dimer secretory piece resists digestive enzymes and coats/neutralizes pathogens on mucosal surfaces, preventing epithelial attachment.","Selective IgA Deficiency (causes recurrent sinopulmonary and GI infections); IgA Nephropathy (Berger's disease); Henoch-Schönlein purpura.","Serum IgA levels (<7 mg/dL defines selective deficiency); immunofluorescence showing IgA mesangial deposits in kidney biopsy."
"Systemic Lupus Erythematosus (SLE)","Immunology","Autoimmune Diseases","Systemic autoimmune disease showing a strong female predominance (9:1); strongly associated with HLA-DR2 and HLA-DR3 alleles.","Mediates a Type III hypersensitivity reaction; autoantibodies bind to self-antigens (DNA/histones), forming immune complexes that deposit in small vessels and filters, activating complement and recruiting destructive neutrophils.","Malar 'butterfly' rash, discoid lupus, lupus nephritis (glomerulonephritis), arthritis, hematologic cytopenias, and neurological symptoms.","Positive ANA (sensitive screening); Anti-dsDNA and Anti-Smith autoantibodies (highly specific); decreased serum C3 and C4 complement levels."
"Interleukin-2 (IL-2)","Immunology","Cytokines","Produced primarily by activated CD4+ T helper (Th1) cells; acts as a crucial autocrine and paracrine T cell growth factor.","Binds to high-affinity IL-2 receptors (containing CD25) to trigger clonal expansion, proliferation, and survival of T cells, B cells, NK cells, and regulatory T cells (Tregs).","Recombinant IL-2 (Aldesleukin) is used to treat metastatic renal cell carcinoma and melanoma; targeted by immunosuppressive drugs like Cyclosporine and Tacrolimus.","Serum cytokine assays; expression of CD25 (alpha chain of IL-2R) on the surface of T lymphocytes by flow cytometry."
"IgG Antibody","Immunology","Immunoglobulins","Most abundant class in serum (~75%); monomeric structure. Secreted in high amounts by plasma cells during the secondary adaptive immune response.","Functions as a primary defender against bacteria, viruses, and toxins via neutralization, opsonization (promoting macrophage phagocytosis via Fc receptor binding), complement activation, and ADCC via NK cells; uniquely crosses the placenta.","Autoimmune hemolytic anemia and Erythroblastosis Fetalis (Type II hypersensitivity); IgG autoantibody deficiencies cause recurrent pyogenic infections.","Quantitative serum IgG levels; immunofluorescence showing IgG deposition; positive Coombs test (for autoimmune hemolytic anemia)."
"IgM Antibody","Immunology","Immunoglobulins","Pentameric structure linked by disulfide bonds and a J-chain in secretions; monomeric on mature B cell surfaces as a B cell receptor (BCR). Earliest antibody produced in a primary immune response.","Exhibits high avidity with 10 antigen-binding sites; exceptionally potent at complement activation (complement fixing) and causing agglutination (clumping) of pathogens.","Mismatched ABO blood transfusion reactions (Type II hypersensitivity); participates in Type III immune complex-mediated hypersensitivities; cold agglutinin disease.","Quantitative serum IgM levels; isohemagglutinin titer; direct/indirect agglutination assays."
"IgE Antibody","Immunology","Immunoglobulins","Lowest concentration in normal serum; monomeric structure with an extra constant domain (CH4). Produced by plasma cells following isotype switching induced by IL-4.","Binds with extremely high affinity to FcεRI receptors on mast cells and basophils. Cross-linking by allergens triggers immediate cell degranulation, releasing preformed inflammatory mediators.","Mediates Type I hypersensitivity (allergic rhinitis, asthma, hives, systemic anaphylaxis); plays an essential defensive role against helminthic parasite infections.","Elevated total serum IgE levels; allergen-specific IgE testing (RAST/ImmunoCAP); skin prick wheel-and-flare testing."
"Dendritic Cells","Immunology","Immune Cells","Originates in the bone marrow; resides as immature sentinel cells in peripheral tissues. The most potent 'professional' Antigen Presenting Cells (APCs).","Captures, processes, and displays exogenous antigens on MHC Class II (and Class I via cross-presentation). Matures and migrates to lymph nodes to express co-stimulatory molecules (B7) and activate naive T cells.","Acts as the essential bridge between innate and adaptive immunity; crucial for initiating primary adaptive immune responses and maintaining central/peripheral self-tolerance.","Flow cytometry identification using surface markers CD11c, HLA-DR, CD80, CD83, and CD86."
"Macrophages","Immunology","Immune Cells","Derived from circulating blood monocytes; differentiates into tissue-specific residents (e.g., microglia, Kupffer cells, alveolar macrophages). Activated by IFN-γ or PAMPs.","Functions as professional phagocytes that engulf and digest pathogens/debris. Acts as APCs displaying antigens on MHC Class II to effector T cells at the site of inflammation; secretes pro-inflammatory cytokines (IL-1, IL-6, TNF-α).","Primary cells involved in chronic inflammation, granuloma formation (e.g., in tuberculosis and leprosy), and the pathogenesis of septic shock (via excessive TNF-α release).","Immunohistochemical staining or flow cytometry using markers CD14, CD68, CD11b, and HLA-DR."
"Th1 Cell","Immunology","Immune Cells","Differentiated CD4+ T helper cell subset. Development is promoted by IL-12 and IFN-γ; driven by the T-bet transcription factor.","Drives cell-mediated immunity against intracellular pathogens. Secretes IFN-γ to strongly activate macrophages, IL-2 to promote T cell proliferation, and TNF-β to mediate localized tissue inflammation.","Orchestrates Type IV Delayed-Type Hypersensitivity reactions (e.g., Tuberculin skin test, contact dermatitis); implicated in chronic inflammatory autoimmune diseases like Crohn's disease.","Intracellular cytokine staining for IFN-γ; CD4+ T cell flow cytometry panel; positive Tuberculin (PPD) skin test."
"Th2 Cell","Immunology","Immune Cells","Differentiated CD4+ T helper cell subset. Differentiation is induced by IL-4; driven by the GATA3 transcription factor.","Promotes humoral (antibody-mediated) immunity and defense against extracellular parasites (helminths). Secretes IL-4 (induces IgE class switching), IL-5 (recruits/activates eosinophils), and IL-10 (suppresses Th1 responses).","Implicated in Type I hypersensitivity allergic reactions (asthma, eczema, anaphylaxis); genetic predisposition to atopy.","Intracellular cytokine staining for IL-4, IL-5, and IL-13; elevated serum IgE levels; peripheral blood eosinophilia."
"CD8+ Cytotoxic T Cell (CTL)","Immunology","Immune Cells","Originates in the bone marrow and matures in the thymus (passing positive and negative selection). Recognizes peptide antigens presented on MHC Class I molecules.","Directly kills virus-infected, damaged, or tumor cells by inducing apoptosis. Employs the perforin/granzyme pathway (to form membrane pores and digest targets) and the Fas/FasL death receptor pathway.","Essential for viral clearance and tumor surveillance; implicated in transplant rejection (host-versus-graft disease) and Type IV cell-mediated hypersensitivity.","Flow cytometry identification using CD3+ and CD8+ surface markers; granzyme B and perforin enzyme-linked immunospot (ELISPOT) assays."
"Complement C3","Immunology","Complement Proteins","The most abundant complement protein in serum, produced mainly by the liver. Acts as the central convergence point for all three complement activation pathways.","Cleaved into C3a (anaphylatoxin that recruits mast cells/neutrophils) and C3b (binds covalently to pathogens to mediate opsonization, and forms C5 convertases to amplify the terminal pathway).","Congenital C3 deficiency leads to severe, recurrent pyogenic infections (e.g., S. pneumoniae, H. influenzae) and severe immune complex-mediated glomerulonephritis.","Serum C3 quantitative levels (using nephelometry or radial immunodiffusion); CH50 and AH50 hemolytic complement assays."
"Complement C5","Immunology","Complement Proteins","Liver-synthesized serum glycoprotein. Cleaved by C5 convertases (C4b2a3b in classical/lectin; C3b2Bb in alternative) to initiate the terminal complement cascade.","Cleaved into C5a (a highly potent anaphylatoxin and neutrophil chemoattractant) and C5b. C5b sequentially binds C6, C7, C8, and multiple C9 proteins to form the Membrane Attack Complex (MAC/C5b-9).","C5 deficiency or terminal MAC pathway defects (C5-C9) result in high susceptibility to recurrent, life-threatening Neisseria meningitidis and Neisseria gonorrhoeae infections.","Serum C5 quantitative levels; CH50 assay (decreased/absent with normal C3 and C4 indicates terminal pathway deficiency)."
"Rheumatoid Arthritis (RA)","Immunology","Autoimmune Diseases","Systemic inflammatory disease affecting joints; strong association with HLA-DR4. Characterized by the presence of Rheumatoid Factor (RF).","Mediates a mixed Type III/IV hypersensitivity. Autoreactive Th1 cells recruit macrophages that release destructive TNF-α in joint synovium. RF (IgM binding to IgG Fc tails) forms immune complexes that amplify inflammation.","Symmetrical polyarthritis (morning stiffness, joint erosions, panus formation), subcutaneous nodules, systemic vasculitis, and pulmonary fibrosis.","Positive Rheumatoid Factor (RF); highly specific Anti-Cyclic Citrullinated Peptide (anti-CCP) antibodies; elevated ESR and CRP."
"Myasthenia Gravis","Immunology","Autoimmune Diseases","Type II (antibody-mediated) hypersensitivity; highly associated with HLA-DR3; often associated with thymic hyperplasia or thymoma.","Autoantibodies (IgG) bind to and block nicotinic acetylcholine receptors (AChR) at the neuromuscular junction, triggering receptor internalization, complement-mediated destruction, and impaired synaptic transmission.","Progressive muscle weakness and fatiguability (worse with exercise, improves with rest), ptosis, diplopia, dysphagia, and potentially fatal respiratory failure (myasthenic crisis).","Anti-AChR antibodies (highly specific); Anti-Muscle-Specific Tyrosine Kinase (MuSK) antibodies; electromyography (EMG) decremental response."
"Severe Combined Immunodeficiency (SCID)","Immunology","Primary Immunodeficiencies","Group of genetic disorders; most common is X-linked (IL2RG mutation). Autosomal recessive forms include adenosine deaminase (ADA) deficiency and RAG1/RAG2 mutations.","Severe defect in both cellular and humoral immunity. RAG1/RAG2 mutations block the V(D)J recombination needed to build functional B and T cell receptors, leaving lymphocytes totally non-functional.","Infants present with severe, recurrent infections (bacterial, viral, fungal, protozoal), chronic diarrhea, failure to thrive, and absence of thymic shadow. Fatal in infancy without bone marrow transplant.","Absent or extremely low T and B cell counts on flow cytometry; absence of T-cell receptor excision circles (TRECs) on newborn screening."
"Paroxysmal Nocturnal Hemoglobinuria (PNH)","Immunology","Complement Proteins","Acquired clonal stem cell disorder caused by a somatic mutation in the PIGA gene, leading to a deficiency of GPI-anchor proteins.","Loss of GPI anchors causes a complete deficiency of cell-surface complement regulators DAF (CD55) and CD59 (MIRL), leaving red blood cells highly vulnerable to uncontrolled bystander complement-mediated MAC lysis.","Intravascular hemolytic anemia, hemoglobinuria (dark morning urine), severe thrombosis (especially in atypical venous sites), and pancytopenia.","Flow cytometry analysis showing absence of CD55 and CD59 on red blood cells and granulocytes."
"Bruton's X-Linked Agammaglobulinemia (XLA)","Immunology","Primary Immunodeficiencies","X-linked recessive immunodeficiency caused by a loss-of-function mutation in the Bruton's Tyrosine Kinase (BTK) gene on chromosome Xq22.","BTK is required for pre-B cell receptor signaling; its defect blocks pre-B cells from maturing into mature B cells in the bone marrow, causing a near-total absence of B cells and all immunoglobulin classes.","Male infants present after age 3-6 months (as maternal IgG wanes) with recurrent, severe pyogenic bacterial infections (e.g., S. pneumoniae, H. influenzae) of the respiratory tract.","Profound B-cell lymphopenia (<1% CD19+ B cells in peripheral blood) on flow cytometry; extremely low or undetectable levels of serum IgG, IgA, and IgM."
"Type I Hypersensitivity (Anaphylaxis)","Immunology","Hypersensitivity Reactions","Rapid, IgE-mediated systemic or local allergic reaction occurring within minutes of re-exposure to an allergen in a sensitized individual.","Allergen cross-links IgE antibodies pre-bound to high-affinity FcεRI receptors on mast cells/basophils. Degranulation releases histamine (early phase) and stimulates leukotriene synthesis (late phase).","Anaphylactic shock (marked by massive systemic vasodilation, bronchial smooth muscle contraction, and laryngeal edema); allergic asthma; food allergies.","Clinical diagnosis; elevated serum tryptase (marker of mast cell degranulation) measured shortly after the episode; skin prick testing."
"Type IV Hypersensitivity (Contact Dermatitis)","Immunology","Hypersensitivity Reactions","Delayed-type, cell-mediated (antibody-independent) inflammatory reaction; peaks 48-72 hours after physical skin contact with an active hapten.","Haptens (e.g., poison ivy pentadecacatechol, nickel, leather chemicals) bind self-proteins, becoming immunogenic. Dendritic cells present them to Th1 cells, which secrete IFN-γ to recruit and activate highly destructive macrophages.","Pruritic, vesicular, erythematous skin lesions localized to the area of contact; localized tissue injury and swelling.","Patch testing (application of suspected allergens to the skin for 48 hours to observe for a localized cell-mediated reaction)."
"Interferon-gamma (IFN-γ)","Immunology","Cytokines","Type II interferon; homodimeric glycoprotein produced mainly by activated CD4+ Th1 cells, CD8+ CTLs, and Natural Killer (NK) cells.","Binds to Type II IFN receptors to activate the JAK-STAT pathway. Acts as the primary battle cytokine that activates macrophages, enhances MHC Class I and II expression on APCs, and blocks IL-4-induced IgE switching.","Recombinant IFN-γ (Actimmune) is used to treat Chronic Granulomatous Disease (CGD) by boosting macrophage bactericidal activity; crucial for tuberculosis clearance.","IFN-γ release assays (IGRA) for tuberculosis screening (e.g., QuantiFERON-TB Gold); intracellular cytokine flow cytometry."
